doc_id;category;brand;product_name;specifications;rating;rating_count;product_picture;description;supplier;delivery;availability;price
1;aero;canyon;Aeroad CFR WRL;Campagnolo Bora Ultra WTO, Campagnolo Super Record WRL, 12-speed;4.5;34;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwe43f5193/images/full/full_2023_/2023/full_2023_3464_aeroad-cfr-wrl_bk-gd_P5.jpg?sw=1300&sfrm=png&q=95&bgcolor=F2F2F2;The Aeroad CFR’s race-winning speed. Campagnolo’s famous heritage and shifting performance, now in an electronic setup. The Aeroad CFR WRL combines them on a bike fit for the world’s best.;;;;10249
2;aero;canyon;Aeroad CFR MVDP;Shimano Dura Ace R9270 wheelset, Shimano Dura-Ace Di2 R9250, 12-speed;4.5;5;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw6d88b860/images/full/full_2023_/2023/full_2023_3465_aeroad-cfr-mvdp_P13_P5.jpg?sw=1300&sfrm=png&q=95&bgcolor=F2F2F2;Ride in the colours of Mathieu van der Poel and combine the Dutch superstar’s look with the very pinnacle of road bike technology.;;;;9299
3;aero;canyon;Aeroad CFR eTap;SRAM RED eTap AXS 12s, ZIPP 454 NSW TL Hookless;4.5;8;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw667a012a/images/full/full_2023_/2023/full_2023_3950_aeroad-cfr-etap_P12_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;Pro-level components, complete system integration, special premium finish: the Aeroad CFR is an aero race bike ready to set the pace at the very highest levels of professional cycling.;;;;9749
4;race;canyon;Ultimate CFR WRL;Campagnolo Super Record WRL, 12-speed, Campagnolo Hyperon;;;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw1ccb1b61/images/full/full_2023_/2023/full_2023_3323_ultimate-cfr-eps_bk-gd_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;With the highest levels of design integration, a high-end finish and premium Campagnolo spec, this bike sets a new standard for world-class road race bikes. Grand Tour-ready.;;;;10249
5;race;canyon;Ultimate CFR Di2 Aero;DT Swiss ARC 1100 Dicut db, Shimano Dura-Ace Di2 R9250, 12-speed;;;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw11f7952c/images/full/full_2023_/2023/full_2023_3564_ultimate-cfr-di2_P04_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;Developed by industry-leading engineers, built with the finest materials: the Ultimate CFR Di2 is a pro-level bike that redefines the meaning of world-class racing performance.;;;;9299
6;race;canyon;Ultimate CFR eTap;SRAM RED eTap AXS 12s, ZIPP 353NSW Hookless;;;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw2559619f/images/full/full_2023_/2023/full_2023_ultimate-cfr-etap_3324_P01_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;A dream bike in every sense of the word. With the very finest components on the market and most advanced carbon layup around, this model is built to dominate Grand Tours.;;;;9749
7;time trial;canyon;Speedmax CFR TT;DT Swiss ARC 1100 Dicut, Shimano Dura-Ace R9200, 12-speed;;;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw26eab27d/images/full/full_2023_/2023/full_2023_3484_speedmax-cfr-tt_P01_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;Time triallists can also benefit from the Speedmax CFR’s world-class performance. 100% UCI compliant and fully adapted for time trialling – when seconds count, nothing comes close.;;;;11149
8;downhill;canyon;Sender CFR Mullet Underdog;SRAM GX DH 7s, FOX 40 Performance Elite Grip;1;5;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwb0daba5c/images/full/full_2023_/2023/full_2023_3418_sender-cfr-underdog_bk-bk_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;This is one underdog you shouldn’t underestimate. Hunting for that perfect line or shaving seconds off the clock out on the downhill course, the Sender CFR is designed for all-out racing.;;;;4699
