participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.news,participant.finished,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.show_cta,session.config.sort_by,session.config.show_banners,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.briefing,session.config.newspaper_name,session.config.cta_text,session.config.copy_left,session.config.landing_page,session.config.copy_right,session.config.survey_link,session.config.url_param,session.config.name,session.config.data_path,session.prolific_completion_url,news.1.player.id_in_group,news.1.player.role,news.1.player.payoff,news.1.player.ad_condition,news.1.player.feed_condition,news.1.player.cta,news.1.player.scroll_sequence,news.1.player.viewport_data,news.1.player.time_spent_on_0,news.1.player.time_spent_on_1,news.1.player.time_spent_on_2,news.1.player.time_spent_on_3,news.1.player.time_spent_on_4,news.1.player.time_spent_on_5,news.1.player.time_spent_on_6,news.1.player.time_spent_on_7,news.1.player.time_spent_on_8,news.1.player.time_spent_on_9,news.1.player.time_spent_on_10,news.1.player.time_spent_on_11,news.1.player.time_spent_on_12,news.1.player.time_spent_on_13,news.1.player.time_spent_on_14,news.1.player.time_spent_on_15,news.1.player.time_spent_on_16,news.1.player.time_spent_on_17,news.1.player.time_spent_on_18,news.1.player.time_spent_on_19,news.1.player.time_spent_on_20,news.1.player.time_spent_on_21,news.1.player.time_spent_on_22,news.1.player.time_spent_on_23,news.1.player.time_spent_on_24,news.1.player.time_spent_on_25,news.1.player.time_spent_on_26,news.1.player.time_spent_on_27,news.1.player.time_spent_on_28,news.1.player.time_spent_on_29,news.1.player.time_spent_on_30,news.1.player.time_spent_on_31,news.1.player.time_spent_on_32,news.1.player.time_spent_on_33,news.1.player.time_spent_on_34,news.1.player.time_spent_on_35,news.1.player.time_spent_on_36,news.1.player.time_spent_on_37,news.1.player.time_spent_on_38,news.1.player.time_spent_on_39,news.1.player.time_spent_on_40,news.1.player.time_spent_on_41,news.1.player.time_spent_on_42,news.1.group.id_in_subsession,news.1.subsession.round_number
1,mcs4n5kj,,0,4,4,news,D_Redirect,2023-10-06 10:00:16.019189,1,,,0.0,"                 source                                             author                                              title  ...                tag condition index 19  the-washington-post  Natalie B. Compton, Andrea Sachs, Heidi Pérez-...           Why planes are extremely gross right now  ...  Random Diesel Tag         A     1 18             bbc-news                                           BBC News  Outrage over Abbas's antisemitic speech on Jew...  ...  Random Diesel Tag         A     2 2             random-ad                                                NaN                           Places to visit in 2024!  ...   Random Apple Tag         A     3 6   the-washington-post                                        Julian Mark  SBA program upended in wake of Supreme Court a...  ...   Random Apple Tag         A     4 26             bbc-news                                           BBC News         Why Vancouver is letting go of green lawns  ...  Random Energy Tag         A     5 4   the-washington-post                                    Karla L. Miller  Work Advice: If a worker wants to record our c...  ...   Random Apple Tag         A     6 8              bbc-news                                           BBC News  Greek floods: Austrian honeymooners missing af...  ...  Random Banana Tag         A     7 9   the-washington-post                                        Kevin Sieff  The man who built the biggest match-fixing rin...  ...  Random Banana Tag         A     8 15             bbc-news                                           BBC News  Ukraine war: US to arm Kyiv with depleted uran...  ...     Random Car Tag         A     9 7                  time                                 SOPHIA TAREEN / AP  Extreme Heat Forces Schools Across Northeaster...  ...  Random Banana Tag         A    10 21                 time                                  BECKY BOHRER / AP  Biden Administration Blocks Oil and Gas Drilli...  ...  Random Energy Tag         A    11 14  the-washington-post                       Nick Anderson, Susan Svrluga  What to know about the Supreme Court ruling on...  ...     Random Car Tag         A    12  [12 rows x 15 columns]",,z2gsx3mo,,,,,1,1,time_stamp,1,2.1,1.0,<h5>This could be your briefing</h5><p>Use HTML syntax to format your content to your liking.</p>,The Daily News,Post Jobs Free,50M Jobseekers. <br><br> 150+ Job Boards.,https://your-link-here.com,One Click.,https://your-link-here.com,PROLIFIC_PID,oNovitas,news/static/data/news.csv,,1,,0.0,A,A,0,i0-i20-ibr-i20-i19-i3-i7-i5-i5-i9-i10-i16,"[{""doc_id"":20,""duration"":1.2},{""doc_id"":19,""duration"":2.332},{""doc_id"":3,""duration"":3.209},{""doc_id"":7,""duration"":3.392},{""doc_id"":27,""duration"":5.113},{""doc_id"":5,""duration"":4.946},{""doc_id"":9,""duration"":9.885},{""doc_id"":10,""duration"":8.958},{""doc_id"":16,""duration"":47.007},{""doc_id"":8,""duration"":45.589},{""doc_id"":22,""duration"":0.068},{""doc_id"":15,""duration"":0.15},{""doc_id"":null,""duration"":0.166},{""doc_id"":null,""duration"":0.114},{""doc_id"":null,""duration"":0.114}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,uxmr6pum,,0,0,4,,,,0,,,0.0,"                 source                                             author                                              title  ...                tag condition index 19  the-washington-post  Natalie B. Compton, Andrea Sachs, Heidi Pérez-...           Why planes are extremely gross right now  ...  Random Diesel Tag         A     1 18             bbc-news                                           BBC News  Outrage over Abbas's antisemitic speech on Jew...  ...  Random Diesel Tag         A     2 2             random-ad                                                NaN                           Places to visit in 2024!  ...   Random Apple Tag         A     3 6   the-washington-post                                        Julian Mark  SBA program upended in wake of Supreme Court a...  ...   Random Apple Tag         A     4 26             bbc-news                                           BBC News         Why Vancouver is letting go of green lawns  ...  Random Energy Tag         A     5 4   the-washington-post                                    Karla L. Miller  Work Advice: If a worker wants to record our c...  ...   Random Apple Tag         A     6 8              bbc-news                                           BBC News  Greek floods: Austrian honeymooners missing af...  ...  Random Banana Tag         A     7 9   the-washington-post                                        Kevin Sieff  The man who built the biggest match-fixing rin...  ...  Random Banana Tag         A     8 15             bbc-news                                           BBC News  Ukraine war: US to arm Kyiv with depleted uran...  ...     Random Car Tag         A     9 7                  time                                 SOPHIA TAREEN / AP  Extreme Heat Forces Schools Across Northeaster...  ...  Random Banana Tag         A    10 21                 time                                  BECKY BOHRER / AP  Biden Administration Blocks Oil and Gas Drilli...  ...  Random Energy Tag         A    11 14  the-washington-post                       Nick Anderson, Susan Svrluga  What to know about the Supreme Court ruling on...  ...     Random Car Tag         A    12  [12 rows x 15 columns]",,z2gsx3mo,,,,,1,1,time_stamp,1,2.1,1.0,<h5>This could be your briefing</h5><p>Use HTML syntax to format your content to your liking.</p>,The Daily News,Post Jobs Free,50M Jobseekers. <br><br> 150+ Job Boards.,https://your-link-here.com,One Click.,https://your-link-here.com,PROLIFIC_PID,oNovitas,news/static/data/news.csv,,2,,0.0,A,A,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,00rqhmvv,,0,0,4,,,,0,,,0.0,"                 source                                             author                                              title  ...                tag condition index 1              bbc-news                                           BBC News  Judge to sentence actor Danny Masterson to pri...  ...   Random Apple Tag         B     1 17             bbc-news                                           BBC News  Mark Dickey: Rescuers rush to save US man trap...  ...  Random Diesel Tag         B     2 3                  time                                     Justin Worland  Can Climate Policy Survive a Future GOP Admini...  ...   Random Apple Tag         B     3 13  the-washington-post                                     Sebastian Smee  This fall, there’s a bounty of great art offer...  ...     Random Car Tag         B     4 5              bbc-news                                           BBC News  Johnny Kitagawa: J-pop agency boss resigns ove...  ...   Random Apple Tag         B     5 0              bbc-news                                           BBC News  China wants to ban clothes that 'hurt nation's...  ...   Random Apple Tag         B     6 12  the-washington-post                                  Kelly Kasulis Cho  ‘Savvy’ cat reunited with owners weeks after f...  ...     Random Car Tag         B     7 16             bbc-news                                           BBC News  Danelo Cavalcante: Security lapse let killer '...  ...  Random Diesel Tag         B     8 22                 time                                      Alana Semuels  Burned Out at Work? Find Someone to Split Your...  ...  Random Energy Tag         B     9 10  the-washington-post                                        Shira Ovide  The do’s and don’ts of using ChatGPT in your d...  ...  Random Banana Tag         B    10 24  the-washington-post  Charlotte Lytton, Derek Hawkins, Matthew Abbot...  Tonga disaster highlights the hidden dangers o...  ...  Random Energy Tag         B    11 11                 time                                        Janell Ross  You Can't Talk About Trump's Georgia Case With...  ...     Random Car Tag         B    12 25                 time                                     Shannon Carlin         The 36 Most Anticipated Books of Fall 2023  ...  Random Energy Tag         B    13 23                 time               By Charlotte Alter/Clarksdale, Miss.  She Wasn't Able to Get an Abortion. Now She's ...  ...  Random Energy Tag         B    14 20                 time          Alana Semuels, Kate Cough / Maine Monitor  Gem Hunters Found the Lithium America Needs. M...  ...  Random Diesel Tag         B    15  [15 rows x 15 columns]",,z2gsx3mo,,,,,1,1,time_stamp,1,2.1,1.0,<h5>This could be your briefing</h5><p>Use HTML syntax to format your content to your liking.</p>,The Daily News,Post Jobs Free,50M Jobseekers. <br><br> 150+ Job Boards.,https://your-link-here.com,One Click.,https://your-link-here.com,PROLIFIC_PID,oNovitas,news/static/data/news.csv,,3,,0.0,A,B,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
